OBJECTID,AREA_,PERIMETER,CLASS,AREA_ACRES,SHAPEAREA,SHAPELEN
359,91229088.39516,71842.03916,074,2094,91229088.61178,71842.038945
360,36125221.41138,41958.51981,068,829,36125221.36347,41958.520408
361,6712398.7345,11146.81303,013,154,6712398.85774,11146.813193
362,59979565.86353,55282.48782,017,1377,59979565.90268,55282.486917
363,9380216.11128,17942.31932,019,215,9380216.0108,17942.319326
364,40402527.61076,66575.67244,020,928,40402528.10055,66575.672526
365,28995916.1491,28039.92162,059,666,28995916.15871,28039.921507
366,123607775.18189,50912.99839,057,2838,123607775.27877,50912.997838
367,477328.49762,3019.08057,002,11,477328.53385,3019.080482
368,24409851.50312,34825.84798,999,560,24409851.81768,34825.847816
369,830471.76532,4674.2668,002,19,830471.73321,4674.266724
370,1389417.42795,6658.23976,016,32,1389417.44079,6658.23942
371,987399.55659,4363.72251,015,23,987399.4619,4363.722305
372,17366854.4125,38916.1417,007,399,17366854.32142,38916.141231
373,250031650.32388,78634.52574,154,5740,250031650.16567,78634.524897
374,8069587.41397,14660.9413,016,185,8069587.25972,14660.940722
375,141229873.16173,72448.0919,161,3242,141229873.32695,72448.092252
376,15721125.54068,16992.88278,004,361,15721125.3945,16992.882495
377,13081310.25288,24604.25692,004,300,13081310.10512,24604.25632
378,1385969.68848,5832.65265,015,32,1385969.63243,5832.652669
379,3256184.70424,8161.76932,013,75,3256184.68614,8161.7691
380,5101952.89677,9694.64719,015,117,5101952.79838,9694.647264
381,4480557.39315,11109.62356,004,103,4480557.18803,11109.623409
382,2224985.80004,8179.42247,020,51,2224985.94531,8179.42239
383,14733954.49514,27412.53682,020,338,14733954.60353,27412.536906
384,1832840.11711,8168.03407,011,42,1832840.06637,8168.03422
385,5306207.57001,11797.38173,056,122,5306207.48564,11797.381866
386,13806945.34736,17455.98391,076,317,13806945.55923,17455.984446
387,98555414.46939,87904.31667,008,2263,98555414.6172,87904.316931
388,6944987.68352,17501.77056,011,159,6944987.70983,17501.770484
389,860415.15827,5272.04915,016,20,860415.13488,5272.049042
390,305020.86374,2047.98041,002,7,305020.85025,2047.98019
391,3919941.14583,8707.77479,011,90,3919941.14672,8707.774774
392,1821511.28517,5330.65369,007,42,1821511.2539,5330.653573
393,320418171.44257,109899.28981,081,7356,320418172.16139,109899.289908
394,158149268.34152,96105.79991,007,3631,158149268.60661,96105.800055
395,729034.52271,3450.74983,020,17,729034.57275,3450.75
396,274645843.43512,132849.95098,068,6305,274645843.08511,132849.953347
397,236472351.83206,128268.48767,014,5429,236472351.34854,128268.486879
398,1449552.93526,5626.33188,011,33,1449553.00809,5626.331985
399,79838326.19681,90897.05483,017,1833,79838325.82642,90897.055452
400,189754525.6411,139835.14802,006,4356,189754526.37676,139835.149088
401,4057347.67086,8602.39785,013,93,4057347.69892,8602.397966
402,310348.32802,2130.12733,011,7,310348.25361,2130.127216
403,56884972.62233,81166.75656,088,1306,56884972.97441,81166.756472
404,546173.55284,3150.97599,011,13,546173.51967,3150.975434
405,950090.40927,5403.30469,013,22,950090.45727,5403.304799
406,1255173.3547,4763.96434,004,29,1255173.37672,4763.964171
407,1055137.72086,5807.11674,020,24,1055137.84498,5807.117109
408,1023617.15454,3806.45841,002,23,1023617.10186,3806.45813
409,32290840.58167,70395.83786,016,741,32290840.66748,70395.838013
410,4392995.72538,11204.63749,013,101,4392995.6834,11204.637418
411,1072809407.2459,298408.26736,007,24628,1072809411.79227,298408.266916
412,3375738.41472,7653.29015,002,77,3375738.45492,7653.290261
413,4646554.97606,7944.64381,013,107,4646555.15004,7944.643933
414,446684.28735,2853.24405,011,10,446684.27676,2853.244224
415,158280047.43226,67751.87986,082,3634,158280047.3237,67751.880698
416,4660571.01354,11109.52923,013,107,4660570.98026,11109.528701
417,93736308.54508,58349.02761,007,2152,93736308.62006,58349.027501
418,1864753.71144,6973.08555,020,43,1864753.71649,6973.085611
419,2742160.2984,7599.07367,014,63,2742160.26851,7599.0736
420,1534835.00235,6560.89038,011,35,1534835.01456,6560.890446
421,68359673.30422,78407.37902,004,1569,68359672.99559,78407.381151
422,626972.936,3793.66001,011,14,626972.92548,3793.660276
423,467769.72477,2536.13742,011,11,467769.68487,2536.137353
424,220304077.96848,146176.58784,088,5057,220304078.43542,146176.587735
425,1358842.58905,4990.43132,004,31,1358842.5902,4990.431246
